Movie_id,Language,Movie_Name,Genres,Year of Release,Popularity,Vote_Average,Vote_Count,Adult
9691,en,Assassins,Action Adventure Crime Thriller,1995-10-06,24.849,6.463,1314,False
6435,en,Practical Magic,Comedy Fantasy Romance,1998-10-16,15.954,6.72,1238,False
520663,en,The Woman in the Window,Crime Drama Mystery Thriller,2021-05-14,15.897,6.057,1619,False
69315,en,Battlestar Galactica: Razor,Action Drama Science Fiction TV Movie Thriller,2007-11-12,13.526,7.131,327,False
4421,en,G.I. Jane,Action Drama,1997-08-19,17.763,6.438,1416,False
872177,en,Corrective Measures,Action Science Fiction,2022-04-29,300.624,5.1,41,False
11831,en,Amistad,Drama History Mystery,1997-12-10,5.186,7.011,1098,False
453755,en,Arctic,Drama,2018-11-21,11.537,6.458,1008,False
552865,en,10 Minutes Gone,Action Crime Mystery Thriller,2019-09-30,14.578,5.547,181,False
9529,en,Candyman,Drama Horror Thriller,1992-10-16,15.331,6.577,1315,False
810171,en,The Valet,Comedy Romance,2022-05-11,46.428,7.681,412,False
11007,en,Cheaper by the Dozen,Comedy Family,2003-12-24,25.014,6.274,2465,False
587562,en,Two by Two: Overboard!,Adventure Animation Comedy Family,2020-09-24,9.272,7.6,137,False
535581,en,The Dead Don't Die,Comedy Fantasy Horror,2019-05-15,16.786,5.428,2157,False
1024627,en,The System,Action Crime,2022-10-28,12.135,5.857,7,False
11670,fr,L'Emmerdeur,Comedy Crime,1973-09-20,7.156,7.259,176,False
395991,en,Only the Brave,Action Drama History,2017-09-22,26.496,7.372,1304,False
489925,en,Eighth Grade,Comedy Drama,2018-01-19,13.348,7.191,1285,False
449562,en,The Hustle,Comedy Crime,2019-05-09,22.946,6.239,2190,False
425001,en,The War with Grandpa,Comedy Family,2020-08-27,22.088,6.445,771,False
77866,en,Contraband,Action Crime Drama Thriller,2012-01-12,29.212,6.317,1841,False
14412,en,Body Heat,Crime Romance Thriller,1981-08-28,30.508,7.055,454,False
97367,en,The Place Beyond the Pines,Crime Drama,2013-03-14,42.215,6.951,4308,False
8688,en,Snake Eyes,Crime Mystery Thriller,1998-08-07,13.592,6.132,1128,False
16337,en,The Texas Chainsaw Massacre 2,Comedy Horror,1986-08-22,20.722,5.671,676,False
319888,en,Eddie the Eagle,Adventure Comedy Drama History,2016-02-25,15.467,7.2,1894,False
593,ru,Солярис,Drama Mystery Science Fiction,1972-03-20,17.278,7.852,1301,False
767825,en,Moonshot,Comedy Romance Science Fiction,2022-05-05,17.856,7.297,86,False
140823,en,Saving Mr. Banks,Comedy Drama History,2013-11-29,95.234,7.352,2987,False
594718,ru,Спутник,Drama Horror Science Fiction,2020-09-08,41.628,6.438,563,False
